,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster
0,240.0,2.0,15.5,102.0,166.0,0.0,15.12,65.37,100.87,31.33,25.02,0.32,4.47,933191.1238783132,14.583333333333334,2.0
1,231.111111111111,2.1,14.7166666666666,99.3333333333333,163.166666666666,0.0,16.0,71.19,100.85,29.66,25.25,0.84,3.82,933219.1196120296,14.583333333333334,2.0
2,222.222222222222,2.2,13.9333333333333,96.6666666666666,160.333333333333,0.0,15.41,68.15,100.82,30.36,25.07,0.88,4.58,933247.1161856176,14.583333333333334,2.0
3,213.333333333333,2.3,13.15,94.0,157.5,0.0,15.83,70.23,100.8,30.16,25.21,1.58,5.0,933275.1135991034,14.583333333333334,2.0
4,204.444444444444,2.4,12.3666666666666,91.3333333333333,154.666666666666,0.0,15.95,71.9,100.65,29.35,25.2,0.92,4.05,933303.1118525114,14.583333333333334,2.0
5,195.555555555555,2.5,11.5833333333333,88.6666666666666,151.833333333333,0.0,15.63,69.56,100.59,30.28,24.97,0.6,4.87,933331.110945867,14.583333333333334,2.0
6,186.666666666666,2.6,10.8,86.0,149.0,0.0,15.12,67.4,100.65,30.07,24.94,0.64,4.31,933359.1108791954,14.583333333333334,2.0
7,168.0,2.9,10.2666666666666,79.3333333333333,148.0,0.0,15.46,69.43,100.76,29.66,25.4,1.16,4.7,933387.1116525218,14.583333333333334,2.0
8,149.333333333333,3.2,9.73333333333333,72.6666666666666,147.0,0.0,15.09,67.94,100.79,30.08,24.56,1.14,5.21,933415.1132658712,14.583333333333334,2.0
9,130.666666666666,3.5,9.2,66.0,146.0,0.0,14.6,64.96,100.74,29.76,25.64,0.5,4.12,933443.1157192694,14.583333333333334,2.0
10,141.333333333333,3.5,12.35,70.0,146.75,0.0,14.73,65.28,100.71,30.06,25.33,0.17,4.67,933471.1190127408,14.583333333333334,2.0
11,152.0,3.5,15.5,74.0,147.5,0.0,14.67,64.73,100.77,31.07,24.81,0.54,5.05,933499.1231463114,14.583333333333334,2.0
12,162.666666666666,3.5,18.65,78.0,148.25,0.0,13.26,55.82,100.89,32.31,24.85,0.4,4.21,933527.1281200056,14.583333333333334,2.0
13,173.333333333333,3.5,21.8,82.0,149.0,0.08,14.16,61.95,100.94,30.37,25.35,0.58,4.4,933555.1339338494,14.583333333333334,2.0
14,180.0,3.4,24.75,84.0,157.5,0.04,13.52,58.47,100.89,31.25,24.86,0.58,3.72,933583.1405878674,14.583333333333334,2.0
15,186.666666666666,3.3,27.7,86.0,166.0,0.0,11.42,49.29,100.88,32.19,23.53,0.82,3.76,933611.1480820852,14.583333333333334,2.0
16,193.333333333333,3.2,30.65,88.0,174.5,0.0,11.23,49.79,100.94,31.62,23.21,0.22,4.52,933639.1564165276,14.583333333333334,2.0
17,200.0,3.1,33.6,90.0,183.0,0.01,13.08,55.12,100.9,32.11,24.63,0.91,4.27,933667.16559122,14.583333333333334,2.0
18,160.666666666666,3.13333333333333,26.8333333333333,75.3333333333333,149.333333333333,3.4,15.73,63.1,100.86,32.89,26.06,0.31,3.65,933695.1756061875,14.583333333333334,2.0
19,121.333333333333,3.16666666666666,20.0666666666666,60.6666666666666,115.666666666666,1.87,15.48,63.92,100.97,31.88,25.54,0.36,3.69,933723.186461456,14.583333333333334,2.0
20,82.0,3.2,13.3,46.0,82.0,0.0,12.63,51.76,100.94,32.89,24.39,0.36,2.93,933751.1981570498,14.583333333333334,2.0
21,92.0952380952381,3.11428571428571,13.6142857142857,49.6428571428571,87.5,0.0,13.03,53.01,100.88,32.28,25.24,0.15,2.54,933779.2106929948,14.583333333333334,2.0
